SC Vertical,Request Type,Volume,Unique SCs Staffed,Avg Volume / SC
Products,Solution Consultant - AMO,1079,57,18.9
Products,Solution Consultant - Direct,222,53,4.2
Consumer Services,Solution Consultant - AMO,377,17,22.2
Consumer Services,Solution Consultant - Direct,132,23,5.7
Business Services,Solution Consultant - AMO,336,25,13.4
Business Services,Solution Consultant - Direct,82,20,4.1
Health  Hospitality,Solution Consultant - AMO,269,25,10.8
Health  Hospitality,Solution Consultant - Direct,115,26,4.4
Construction  Energy,Solution Consultant - AMO,246,17,14.5
Construction  Energy,Solution Consultant - Direct,123,24,5.1
Software,Solution Consultant - AMO,266,14,19.0
Software,Solution Consultant - Direct,44,8,5.5
High Tech,Solution Consultant - AMO,137,14,9.8
High Tech,Solution Consultant - Direct,106,12,8.8
PBCS,Solution Consultant - AMO,5,2,2.5
PBCS,Solution Consultant - Direct,3,2,1.5
TCOE,Solution Consultant - AMO,2,2,1.0
TCOE,Solution Consultant - Direct,1,1,1.0
Wholesale/Distribution,Solution Consultant - Direct,1,1,1.0
